Name,Positions,Playtime,Tackles,Intercepts,Fouls,Offsides,Clear,DribblePass,Blocks
"Lionel Messi,"",  AM(CR),FW  "",1132	,0.8	,-	,0.2	,-	,-	,0.5	,-	"
"Neymar,"",  AM(CLR),FW  "",1085	,1.1	,0.1	,1.1	,-	,-	,0.7	,0.1	"
"Erling Haaland,"",  FW  "",1041	,0.1	,0.1	,0.7	,-	,0.3	,0.1	,-	"
"Kylian Mbappé,"",  AM(LR),FW  "",1146	,0.3	,0.2	,0.6	,-	,0.2	,0.4	,-	"
"Kevin De Bruyne,"",  M(CLR),FW  "",1135	,1.1	,0.2	,0.9	,-	,0.3	,0.7	,0.1	"
"Martin Terrier,"",  AM(CL),FW  "",1204	,1.6	,0.9	,0.9	,-	,0.4	,0.8	,0.1	"
"Robert Lewandowski,"",  FW  "",1068	,0.5	,-	,1.4	,0.1	,0.1	,0.3	,-	"
"Joshua Kimmich,"",  D(CR),DMC,M(R)  "",1277	,2.3	,1.4	,0.9	,-	,1.1	,1	,-	"
"Rémy Cabella,"",  M(CLR),FW  "",724	,1.9	,0.6	,0.9	,-	,0.4	,0.4	,0.2	"
"Jamal Musiala,"",  M(CL)  "",1000	,1.1	,0.5	,0.6	,-	,0.2	,0.3	,0.1	"
"Kieran Trippier,"",  D(LR),M(R)  "",1327	,1.9	,1.3	,0.8	,0.3	,2	,0.9	,0.5	"
"Gabriel Jesus,"",  AM(LR),FW  "",1226	,1.4	,0.6	,1.7	,-	,0.6	,0.6	,0.1	"
"Khvicha Kvaratskhelia,"",  AM(CLR)  "",876	,1.3	,-	,0.6	,-	,0.3	,0.4	,-	"
"Harry Kane,"",  AM(C),FW  "",1338	,0.3	,0.1	,0.7	,0.1	,0.3	,0.3	,0.2	"
"Marcus Thuram,"",  AM(L),FW  "",1350	,0.5	,0.3	,1.5	,-	,0.7	,0.1	,0.1	"
"Jude Bellingham,"",  M(CLR)  "",1350	,3.2	,1.4	,1	,-	,1.1	,0.3	,0.2	"
"Vinícius Júnior,"",  AM(L),FW  "",1231	,1.2	,0.4	,1.6	,-	,-	,0.8	,-	"
"Alexandre Lacazette,"",  M(CLR),FW  "",1303	,1.5	,0.6	,1.7	,-	,0.2	,0.9	,-	"
"Christopher Nkunku,"",  M(CLR),FW  "",1283	,0.2	,0.4	,0.7	,-	,0.5	,0.2	,0.1	"
"Niclas Füllkrug,"",  FW  "",1219	,0.1	,-	,1.1	,-	,1.2	,0.2	,0.3	"
"Aleksandar Mitrovic,"",  FW  "",1021	,0.8	,0.1	,1.1	,-	,0.9	,0.3	,0.3	"
"Enzo Le Fée,"",  M(CLR)  "",1334	,3.2	,0.9	,1.2	,-	,0.9	,2.2	,0.1	"
"Victor Osimhen,"",  FW  "",905	,0.2	,0.2	,1.8	,-	,0.6	,0.4	,0.1	"
"Sergej Milinkovic-Savic,"",  AM(C)  "",1157	,1.8	,1	,0.7	,-	,1.6	,1	,0.3	"
"Vincenzo Grifo,"",  AM(CL)  "",1130	,0.5	,0.5	,0.1	,0.1	,0.3	,0.5	,-	"
"Dango Ouattara,"",  AM(LR)  "",1197	,2	,1.1	,0.9	,-	,1	,0.6	,0.4	"
"Florian Sotoca,"",  AM(CR),FW  "",1239	,1	,1.2	,1.2	,-	,0.7	,0.5	,0.1	"
"Rodrygo,"",  AM(CLR),FW  "",914	,0.8	,0.3	,0.8	,-	,0.2	,0.3	,-	"
"James Maddison,"",  AM(CLR)  "",1100	,1.9	,0.7	,1.2	,0.1	,0.2	,0.9	,-	"
"Martin Ødegaard,"",  AM(CR)  "",1083	,0.9	,0.2	,0.9	,0.1	,0.4	,0.6	,0.1	"
"Phil Foden,"",  AM(CLR),FW  "",911	,0.7	,0.2	,0.3	,-	,0.2	,0.1	,0.1	"
"Paulo Dybala,"",  AM(CR),FW  "",601	,0.6	,0.4	,0.4	,-	,0.1	,0.4	,-	"
"Michael Gregoritsch,"",  AM(CR),FW  "",1128	,0.7	,0.3	,0.9	,-	,0.4	,0.5	,0.1	"
"Bukayo Saka,"",  D(L),M(CLR)  "",1179	,1.1	,0.6	,1.3	,0.1	,0.4	,0.5	,-	"
"Gabriel Martinelli,"",  AM(L),FW  "",1187	,0.9	,0.5	,1.5	,-	,0.4	,0.4	,0.1	"
"Federico Valverde,"",  M(CLR)  "",1108	,0.9	,0.4	,0.3	,-	,0.3	,0.6	,0.1	"
"Rodri,"",  DMC  "",1125	,2	,1.1	,1.4	,-	,1.1	,0.5	,0.5	"
"Benjamin André,"",  D(R),M(CLR)  "",1218	,4.3	,1.4	,1.9	,0.2	,2	,1.9	,0.4	"
"Ousmane Dembélé,"",  AM(CLR),FW  "",874	,1	,-	,0.8	,-	,0.1	,0.6	,-	"
"Bruno Guimarães,"",  DMC  "",999	,2.6	,1.3	,1.4	,-	,0.6	,0.8	,0.3	"
"Jonathan David,"",  AM(C),FW  "",1331	,0.7	,0.3	,0.8	,0.1	,0.5	,0.3	,0.1	"
"Serge Gnabry,"",  AM(CLR),FW  "",834	,0.5	,0.4	,0.5	,-	,0.1	,0.4	,0.1	"
"Amine Gouiri,"",  AM(L),FW  "",794	,1	,0.3	,1.5	,-	,0.4	,0.6	,-	"
"Rodrigo Bentancur,"",  M(C)  "",1186	,2.6	,1.3	,1.4	,-	,1	,0.6	,0.9	"
"Mikel Merino,"",  M(C)  "",1129	,2.4	,0.9	,2.4	,-	,2.3	,0.7	,0.4	"
"Ivan Toney,"",  FW  "",1260	,0.9	,0.4	,1.6	,-	,1.1	,0.3	,0.1	"
"Eric Choupo-Moting,"",  M(CLR),FW  "",520	,0.5	,-	,0.2	,-	,0.2	,-	,-	"
"Adrien Rabiot,"",  DMC,M(L)  "",935	,1.9	,1.1	,1.3	,-	,0.6	,0.5	,0.3	"
"Leroy Sané,"",  M(CLR),FW  "",840	,0.7	,0.1	,0.6	,-	,-	,0.4	,0.1	"
"Thomas Partey,"",  D(R),M(CR)  "",961	,2.1	,1.3	,0.9	,-	,1.6	,0.8	,0.1	"
"Randal Kolo Muani,"",  AM(R),FW  "",1122	,0.4	,-	,1.8	,-	,0.2	,0.2	,-	"
"Jonas Hofmann,"",  D(R),M(CLR)  "",1155	,1	,0.5	,0.5	,-	,0.3	,1.1	,0.2	"
"Frenkie de Jong,"",  D(C),DMC  "",898	,1.5	,1.2	,0.9	,0.1	,0.4	,0.3	,-	"
"Mário Rui,"",  D(L),M(L)  "",977	,1.4	,1	,0.8	,0.2	,1	,0.6	,0.2	"
"Dominik Szoboszlai,"",  AM(CLR)  "",953	,1	,0.8	,0.9	,-	,0.5	,0.3	,0.1	"
"Joelinton,"",  AM(CLR),FW  "",1060	,2.5	,1.2	,1.7	,0.1	,1.4	,1.1	,0.1	"
"Konstantinos Mavropanos,"",  D(CR)  "",1149	,2.2	,2.4	,0.8	,0.2	,3.8	,0.2	,1	"
"Pedri,"",  AM(CL)  "",1030	,1.4	,0.6	,0.3	,-	,0.4	,1.4	,-	"
"Marco Verratti,"",  M(C)  "",1060	,3.4	,1	,1	,-	,0.2	,1.5	,0.4	"
"Willi Orbán,"",  D(C)  "",1350	,1.8	,1.5	,0.6	,0.3	,4.7	,0.6	,0.7	"
"Lorenzo Pellegrini,"",  M(CL)  "",1105	,1.8	,0.8	,0.9	,-	,0.5	,0.8	,0.2	"
"Lautaro Martínez,"",  FW  "",1219	,0.6	,0.4	,1.5	,-	,0.7	,0.3	,0.1	"
"Benjamin Pavard,"",  D(CLR),M(R)  "",1018	,2.5	,1.5	,0.8	,0.3	,2.2	,0.2	,0.2	"
"Roberto Firmino,"",  M(CLR),FW  "",937	,1	,0.5	,0.5	,-	,0.2	,0.6	,0.1	"
"Antoine Griezmann,"",  AM(CLR),FW  "",772	,1.2	,0.5	,0.5	,-	,0.3	,0.6	,0.1	"
"Mattia Zaccagni,"",  AM(CL),FW  "",1026	,1	,0.5	,1.5	,-	,0.2	,0.2	,0.2	"
"Miguel Almirón,"",  AM(CLR),FW  "",1264	,1.6	,0.1	,0.6	,-	,0.3	,0.3	,0.1	"
"Maximilian Arnold,"",  M(CR)  "",1310	,1.9	,0.5	,0.9	,0.2	,1.9	,0.6	,0.5	"
"Brais Méndez,"",  AM(CR),FW  "",1125	,2.2	,0.4	,2.3	,-	,0.4	,0.9	,0.1	"
"Armand Laurienté,"",  AM(LR),FW  "",753	,0.6	,0.2	,0.7	,-	,0.1	,-	,-	"
"Frank Anguissa,"",  M(C)  "",1098	,1.8	,1.1	,0.7	,-	,1.1	,0.7	,0.1	"
