Name,Positions,KeyPasses,Dribble,Dispossed,BadControl
Lionel Messi,",  AM(CR),FW  ",2.6	,3.6	,2.4	,1.5	
Neymar,",  AM(CLR),FW  ",2.7	,1.6	,1.6	,2.1	
Erling Haaland,",  FW  ",1.1	,0.3	,0.9	,1.3	
Kylian Mbappé,",  AM(LR),FW  ",1.9	,1.9	,1.3	,2.4	
Kevin De Bruyne,",  M(CLR),FW  ",3.4	,0.8	,1.1	,1.2	
Martin Terrier,",  AM(CL),FW  ",1.7	,0.6	,0.8	,1.8	
Robert Lewandowski,",  FW  ",1.1	,0.9	,1.1	,2.6	
Joshua Kimmich,",  D(CR),DMC,M(R)  ",2.7	,0.5	,1	,0.7	
Rémy Cabella,",  M(CLR),FW  ",3.1	,0.7	,0.8	,1.1	
Jamal Musiala,",  M(CL)  ",1.8	,1.6	,2.4	,2.9	
Kieran Trippier,",  D(LR),M(R)  ",2.3	,0.3	,0.1	,0.7	
Gabriel Jesus,",  AM(LR),FW  ",1.6	,1.9	,2.9	,3.9	
Khvicha Kvaratskhelia,",  AM(CLR)  ",1.9	,1.6	,1.7	,2.4	
Harry Kane,",  AM(C),FW  ",1.9	,0.9	,2	,1.9	
Marcus Thuram,",  AM(L),FW  ",0.9	,1.5	,1.3	,3.2	
Jude Bellingham,",  M(CLR)  ",1	,2	,2.5	,2.4	
Vinícius Júnior,",  AM(L),FW  ",1.9	,2.4	,1.7	,2.6	
Alexandre Lacazette,",  M(CLR),FW  ",1.7	,1.1	,1.3	,1.7	
Christopher Nkunku,",  M(CLR),FW  ",1.8	,1.1	,1.7	,2	
Niclas Füllkrug,",  FW  ",1.4	,0.7	,1.9	,2.6	
Aleksandar Mitrovic,",  FW  ",0.9	,1.1	,2.1	,3.2	
Enzo Le Fée,",  M(CLR)  ",2.7	,1.8	,1.6	,2.2	
Victor Osimhen,",  FW  ",1.1	,0.5	,1.3	,3	
Sergej Milinkovic-Savic,",  AM(C)  ",1.4	,0.9	,1.4	,3.1	
Vincenzo Grifo,",  AM(CL)  ",2.1	,1.2	,0.7	,1.1	
Dango Ouattara,",  AM(LR)  ",1.1	,1.3	,1.4	,2.1	
Florian Sotoca,",  AM(CR),FW  ",2	,0.4	,0.9	,1.5	
Rodrygo,",  AM(CLR),FW  ",1.4	,1.8	,1	,2.1	
James Maddison,",  AM(CLR)  ",2.4	,0.5	,1.1	,1.7	
Martin Ødegaard,",  AM(CR)  ",1.9	,1.2	,1.5	,1.2	
Phil Foden,",  AM(CLR),FW  ",1.5	,0.7	,1	,1.4	
Paulo Dybala,",  AM(CR),FW  ",2.2	,0.9	,1.3	,2.2	
Michael Gregoritsch,",  AM(CR),FW  ",0.7	,0.5	,0.4	,1.6	
Bukayo Saka,",  D(L),M(CLR)  ",2.1	,1.4	,1.6	,1.9	
Gabriel Martinelli,",  AM(L),FW  ",1.6	,2	,2	,2.9	
Federico Valverde,",  M(CLR)  ",1.7	,0.6	,0.3	,0.6	
Rodri,",  DMC  ",0.8	,0.5	,0.4	,0.6	
Benjamin André,",  D(R),M(CLR)  ",0.6	,0.6	,1.4	,1.1	
Ousmane Dembélé,",  AM(CLR),FW  ",2.2	,1.2	,0.8	,1	
Bruno Guimarães,",  DMC  ",1.3	,0.8	,1.9	,1.1	
Jonathan David,",  AM(C),FW  ",1.4	,0.9	,1.3	,2.5	
Serge Gnabry,",  AM(CLR),FW  ",1	,0.9	,0.5	,1.5	
Amine Gouiri,",  AM(L),FW  ",1.5	,0.8	,1.3	,2.1	
Rodrigo Bentancur,",  M(C)  ",0.6	,1.3	,1	,1.1	
Mikel Merino,",  M(C)  ",1.4	,0.4	,1.3	,1.4	
Ivan Toney,",  FW  ",1.1	,0.4	,1.4	,3.1	
Eric Choupo-Moting,",  M(CLR),FW  ",0.8	,0.7	,0.6	,1.8	
Adrien Rabiot,",  DMC,M(L)  ",0.9	,0.9	,1.1	,1.8	
Leroy Sané,",  M(CLR),FW  ",1.3	,1.8	,1.8	,1.9	
Thomas Partey,",  D(R),M(CR)  ",0.8	,0.8	,0.7	,1.1	
Randal Kolo Muani,",  AM(R),FW  ",1.4	,2	,2.4	,4	
Jonas Hofmann,",  D(R),M(CLR)  ",2.8	,0.4	,1.3	,1.5	
Frenkie de Jong,",  D(C),DMC  ",1.4	,1.2	,1	,0.9	
Mário Rui,",  D(L),M(L)  ",2.7	,0.1	,0.4	,0.4	
Dominik Szoboszlai,",  AM(CLR)  ",2.5	,1	,0.9	,1.7	
Joelinton,",  AM(CLR),FW  ",1.1	,1.4	,1.8	,2.5	
Konstantinos Mavropanos,",  D(CR)  ",0.6	,0.6	,0.1	,1.5	
Pedri,",  AM(CL)  ",1.4	,1.1	,0.7	,1.3	
Marco Verratti,",  M(C)  ",0.4	,1.2	,1.1	,0.9	
Willi Orbán,",  D(C)  ",0.2	,0.2	,0.2	,0.3	
Lorenzo Pellegrini,",  M(CL)  ",2.4	,1.2	,1	,1.8	
Lautaro Martínez,",  FW  ",1.6	,0.8	,1.3	,1.8	
Benjamin Pavard,",  D(CLR),M(R)  ",0.9	,-	,0.2	,0.4	
Roberto Firmino,",  M(CLR),FW  ",1.3	,0.5	,1.5	,2	
Antoine Griezmann,",  AM(CLR),FW  ",1.6	,1	,0.9	,0.7	
Mattia Zaccagni,",  AM(CL),FW  ",1	,1.1	,0.8	,1.8	
Miguel Almirón,",  AM(CLR),FW  ",0.8	,0.9	,0.7	,1.7	
Maximilian Arnold,",  M(CR)  ",1.5	,0.3	,0.7	,0.7	
Brais Méndez,",  AM(CR),FW  ",1.3	,0.6	,0.9	,1.4	
Armand Laurienté,",  AM(LR),FW  ",3.6	,1.7	,2.4	,1.7	
Frank Anguissa,",  M(C)  ",0.9	,0.8	,1.5	,1.7	
Hakan Çalhanoglu,",  M(CLR),FW  ",2.1	,0.1	,0.4	,1.4	
Joselu,",  FW  ",0.5	,0.5	,1.9	,2.1	
Aleix García,",  DMC  ",2.5	,0.6	,0.4	,0.6	
Sadio Mané,",  AM(CLR),FW  ",0.9	,1.4	,0.9	,2.5	
Fabian Schär,",  D(C)  ",0.6	,0.1	,0.1	,0.4	
José Gayà,",  D(L),M(L)  ",2.1	,0.7	,0.1	,0.6	
Rafal Gikiewicz,",  GK  ",-	,-	,-	,0.2	
Bruno Fernandes,",  M(CLR)  ",2.5	,0.6	,1.2	,0.8	
Piotr Zielinski,",  M(CL)  ",2.3	,0.6	,0.5	,0.8	
Ciro Immobile,",  FW  ",0.8	,0.5	,1.1	,1.8	
Daichi Kamada,",  AM(CLR),FW  ",1	,0.5	,0.8	,1.1	
Aurélien Tchouaméni,",  DMC  ",0.8	,0.8	,0.6	,1	
Gianluigi Donnarumma,",  GK  ",-	,-	,-	,-	
João Cancelo,",  D(LR),M(R)  ",0.8	,1.6	,0.9	,1.1	
Lucas Martínez,",  D(C)  ",0.2	,-	,0.2	,0.4	
Bernd Leno,",  GK  ",0.1	,-	,-	,-	
Nabil Bentaleb,",  M(C)  ",1	,1.5	,0.8	,0.8	
Gerónimo Rulli,",  GK  ",-	,-	,-	,-	
Vedat Muriqi,",  FW  ",1	,0.2	,1.3	,2	
Moussa Diaby,",  M(CLR),FW  ",1.9	,1.3	,1.3	,1.7	
Yann Sommer,",  GK  ",-	,-	,-	,-	
Dodi Lukébakio,",  AM(CLR),FW  ",0.9	,2.1	,1.8	,2.7	
Bernardo Silva,",  M(CLR),FW  ",1.4	,1.1	,1.3	,1.2	
Branco van den Boomen,",  DMC  ",3	,0.3	,0.5	,0.8	
Andrei Girotto,",  D(C),DMC  ",0.4	,0.1	,0.1	,0.6	
Rafael Leão,",  AM(L),FW  ",1.6	,1.7	,1.1	,2	
Kim Min-Jae,",  D(C)  ",0.4	,0.1	,0.5	,0.4	
Breel Embolo,",  AM(CR),FW  ",1.3	,1.2	,1.5	,2.6	
Ilkay Gündogan,",  M(C)  ",1.9	,0.3	,0.7	,1	
Gerard Deulofeu,",  AM(CLR),FW  ",3.1	,1.3	,1.2	,1.5	
Guido Rodríguez,",  DMC  ",0.4	,0.7	,0.6	,0.8	
Son Heung-Min,",  M(CLR),FW  ",2.2	,0.7	,1.3	,2.3	
Achraf Hakimi,",  D(LR),M(R)  ",1.3	,0.6	,1	,0.7	
Terem Moffi,",  AM(R),FW  ",0.5	,1.4	,0.9	,2.4	
Romain Del Castillo,",  AM(LR),FW  ",1.1	,1.2	,1.3	,1.8	
Ismaël Bennacer,",  DMC  ",2	,1	,0.7	,1.3	
Seko Fofana,",  M(C)  ",1.2	,1.4	,1.6	,1.6	
Matthias Ginter,",  D(CR),DMC  ",0.4	,0.1	,0.1	,0.4	
Rafael Tolói,",  D(C)  ",0.8	,0.1	,0.1	,0.6	
Adam Ounas,",  AM(CLR),FW  ",1.8	,2.5	,2	,1.9	
Alphonso Davies,",  D(L),M(LR)  ",1.9	,1.7	,0.6	,2.3	
Nuno Mendes,",  D(L),M(L)  ",1.2	,0.9	,0.9	,1.3	
Paulo Otávio,",  D(L),M(L)  ",0.8	,0.8	,0.4	,1.1	
Pau López,",  GK  ",0.1	,-	,-	,-	
Alassane Plea,",  AM(CLR),FW  ",1.8	,0.7	,1	,2.1	
Pierre-Emile Højbjerg,",  M(C)  ",0.9	,0.5	,1.5	,1.4	
Toni Kroos,",  M(C)  ",1.8	,0.2	,0.6	,0.4	
Florian Kainz,",  AM(CLR)  ",1.9	,1.1	,0.8	,1.2	
Casemiro,",  DMC  ",0.7	,0.3	,0.7	,0.6	
Wilfried Zaha,",  AM(LR),FW  ",1.2	,1.9	,4	,4.4	
Jeremie Frimpong,",  D(R),M(R)  ",0.9	,2.1	,1.3	,1.9	
Florian Tardieu,",  M(C)  ",1.5	,0.5	,1	,1	
Alexis Mac Allister,",  M(CL),FW  ",0.9	,0.6	,0.9	,0.9	
Leon Goretzka,",  M(CR)  ",1	,0.5	,0.5	,0.9	
Leandro Trossard,",  M(CLR),FW  ",1.5	,0.7	,1.6	,2.5	
Callum Wilson,",  FW  ",0.9	,0.2	,0.7	,2.5	
Yeray Álvarez,",  D(C)  ",0.5	,0.1	,-	,0.3	
Pascal Struijk,",  D(CL),DMC  ",0.9	,0.7	,0.3	,1.2	
Aleksandr Golovin,",  M(CLR)  ",1.6	,0.6	,0.9	,1.2	
Ivan Provedel,",  GK  ",0.1	,-	,-	,-	
Felipe Anderson,",  M(CLR),FW  ",1.5	,1.3	,1.7	,2.5	
Nicolò Barella,",  AM(C)  ",1.4	,0.7	,1.3	,1.5	
Thiago Silva,",  D(C)  ",0.3	,0.2	,0.1	,0.2	
Jonathan Clauss,",  D(R),M(R)  ",1.6	,0.6	,0.4	,0.9	
Ardian Ismajli,",  D(C)  ",0.1	,0.1	,0.1	,0.2	
Téji Savanier,",  M(C)  ",2	,1.8	,1.8	,1.9	
Juan Cuadrado,",  D(R),M(CLR),FW  ",1.8	,0.4	,0.4	,1.5	
Granit Xhaka,",  D(L),M(C)  ",1.4	,0.3	,1.1	,1	
Alisson,",  GK  ",0.1	,-	,-	,-	
Jaka Bijol,",  D(C),M(C),FW  ",0.1	,0.1	,0.2	,0.3	
Alessio Romagnoli,",  D(CL)  ",0.1	,-	,0.1	,0.2	
Enes Ünal,",  FW  ",0.7	,0.5	,1.4	,2.3	
Ramy Bensebaïni,",  D(CL),DMC,M(L)  ",0.6	,0.4	,0.8	,1.1	
Fabiano Parisi,",  D(L)  ",1	,1.5	,1.5	,1.7	
Manuel Locatelli,",  M(C)  ",0.6	,0.4	,0.7	,1.1	
Frederik Rønnow,",  GK  ",0.1	,-	,-	,-	
Mama Baldé,",  D(R),M(CLR),FW  ",0.8	,1.4	,1.9	,2.9	
Nico Schlotterbeck,",  D(C)  ",0.3	,0.2	,0.1	,0.7	
Benjamin Bourigeaud,",  M(CLR)  ",2.8	,0.2	,0.6	,1.1	
Theo Hernández,",  D(L),M(L)  ",1.6	,0.5	,0.7	,1.3	
Mats Hummels,",  D(C)  ",0.2	,0.3	,0.4	,0.1	
Rasmus Nicolaisen,",  D(C)  ",0.1	,0.1	,-	,0.3	
Mitchell Weiser,",  D(R),M(R)  ",1.3	,1.1	,1.5	,3.6	
Ibañez,",  D(C)  ",0.1	,0.3	,0.6	,0.5	
Dusan Vlahovic,",  FW  ",1.1	,0.5	,2	,2.6	
Sergi Darder,",  M(CL)  ",2.2	,1.1	,0.6	,1.3	
Rúben Neves,",  DMC  ",0.9	,0.4	,0.6	,0.9	
Anton Stach,",  M(C)  ",1.1	,0.8	,0.5	,1.8	
Alejandro Balde,",  D(LR)  ",0.7	,0.9	,0.6	,1.3	
Caio Henrique,",  D(L),M(CL)  ",1.8	,0.5	,0.3	,0.7	
Diogo Dalot,",  D(LR),M(R)  ",1.5	,0.7	,0.3	,0.8	
Isi Palazón,",  AM(R)  ",1.3	,0.7	,2	,2.3	
Julian Brandt,",  M(CLR),FW  ",2.1	,1	,1.2	,1.7	
Nicolás Tagliafico,",  D(CL),M(L)  ",0.8	,0.5	,0.7	,1.5	
Eberechi Eze,",  AM(CLR)  ",1.7	,1.9	,1.8	,2.1	
James Tarkowski,",  D(C)  ",0.4	,0.1	,0.1	,0.5	
Wataru Endo,",  DMC  ",1.2	,0.7	,1.2	,1.4	
Axel Disasi,",  D(C)  ",0.3	,0.3	,0.3	,0.4	
Ben Mee,",  D(CL)  ",0.1	,0.1	,0.1	,0.6	
Iago Aspas,",  AM(CR),FW  ",2.6	,0.4	,1.9	,1.5	
Wout Faes,",  D(C)  ",0.2	,0.1	,0.2	,0.9	
Jean-Ricner Bellegarde,",  M(CLR)  ",1.7	,1.8	,1.5	,2.1	
Marvin Ducksch,",  FW  ",1.9	,0.4	,0.5	,1.9	
Kevin Danso,",  D(C)  ",0.3	,0.4	,0.4	,0.5	
Mohamed Salah,",  AM(CLR),FW  ",2.1	,1.1	,2.9	,3	
Teun Koopmeiners,",  D(C),M(C)  ",1.3	,0.7	,0.7	,1.4	
Danilo,",  D(CLR),DMC  ",0.5	,0.1	,0.3	,0.6	
Koen Casteels,",  GK  ",-	,-	,-	,-	
Darwin Núñez,",  AM(CL),FW  ",1.3	,0.4	,0.8	,1.7	
Lee Kang-In,",  AM(CLR),FW  ",1.6	,1.6	,1.2	,1.7	
Gabriel Magalhães,",  D(C)  ",0.1	,-	,0.1	,0.4	
Jonathan Bamba,",  AM(CLR),FW  ",1.6	,0.7	,2	,1.6	
Dejan Kulusevski,",  AM(CR),FW  ",1.9	,1.3	,1.1	,2.3	
Jordan Pickford,",  GK  ",0.1	,-	,0.1	,0.1	
Gaëtan Laborde,",  AM(CLR),FW  ",1.3	,0.7	,1	,1.6	
Daniel Parejo,",  M(C)  ",1.4	,0.4	,0.7	,0.8	
Alexis Flips,",  M(CR)  ",1.5	,0.4	,0.4	,1	
Youri Tielemans,",  M(C)  ",1.2	,0.5	,0.4	,1.3	
Dayot Upamecano,",  D(C)  ",0.3	,0.3	,0.3	,0.8	
Alfonso Pedraza,",  D(L),M(L)  ",0.6	,1.2	,1	,1.2	
Samuel Lino,",  AM(LR),FW  ",1	,1.8	,1.7	,3.1	
Sheraldo Becker,",  AM(CLR),FW  ",1.4	,0.3	,1.2	,2	
Rodrigo,",  M(CLR),FW  ",0.8	,0.3	,0.8	,1.6	
Alex Berenguer,",  D(LR),M(CLR),FW  ",1.8	,0.3	,1.2	,2.2	
Vinicius Souza,",  DMC  ",0.5	,0.3	,0.3	,1.2	
Giovanni Di Lorenzo,",  D(CLR),M(R)  ",1.5	,0.3	,0.5	,0.6	
Iñaki Williams,",  AM(CLR),FW  ",1.1	,1	,1.1	,1.6	
Declan Rice,",  D(C),DMC  ",1.3	,0.5	,0.7	,0.9	
Fikayo Tomori,",  D(CR)  ",0.2	,0.1	,0.1	,0.3	
Rony Lopes,",  AM(CLR),FW  ",1.5	,1.3	,0.9	,1.3	
Rodrigo Becão,",  D(C)  ",0.4	,0.2	,0.1	,0.2	
Nico Williams,",  AM(R)  ",1.4	,1.4	,1.5	,2	
Ozan Kabak,",  D(C)  ",0.3	,0.5	,0.3	,0.8	
João Palhinha,",  DMC  ",-	,0.2	,0.6	,1.2	
Azor Matusiwa,",  DMC  ",0.6	,0.3	,0.2	,0.7	
Jeremías Ledesma,",  GK  ",0.1	,0.1	,-	,-	
Nuno Tavares,",  D(L),M(L)  ",0.7	,1.6	,2.2	,2.6	
Alexander Sørloth,",  AM(R),FW  ",1.2	,0.9	,2.7	,3.8	
Rafael Ratão,",  AM(R)  ",1.1	,1.3	,1.1	,2	
Jordi Alba,",  D(L),M(L)  ",1.9	,0.2	,0.5	,0.1	
Luka Modric,",  M(C)  ",1.6	,0.6	,0.4	,1.5	
Edin Dzeko,",  FW  ",0.8	,0.2	,0.5	,1.7	
Sofiane Boufal,",  AM(CLR),FW  ",2.2	,2.5	,1.5	,2.3	
Stefano Sensi,",  AM(C)  ",1.3	,0.4	,0.8	,1.3	
Federico Fazio,",  D(C)  ",0.2	,0.4	,0.4	,0.9	
Maxime Dupé,",  GK  ",-	,-	,-	,0.1	
Jordan Siebatcheu,",  FW  ",0.9	,0.2	,1.1	,1.4	
Wissam Ben Yedder,",  AM(C),FW  ",0.7	,1	,0.8	,1.2	
Marcus Tavernier,",  M(CLR)  ",1	,2	,2	,2.3	
Ritsu Doan,",  AM(CLR),FW  ",1	,1.2	,1.6	,2.3	
Álvaro Morata,",  AM(L),FW  ",0.6	,0.6	,0.9	,1.9	
Stanislav Lobotka,",  DMC  ",0.6	,0.4	,0.3	,0.5	
Ludovic Blas,",  M(CLR),FW  ",1.1	,2.1	,2.4	,2.6	
Malo Gusto,",  D(R),M(R)  ",1.3	,0.9	,0.3	,1.1	
Jonas Hector,",  D(L),M(CL)  ",1.2	,0.8	,0.2	,1.3	
Karl Toko-Ekambi,",  AM(LR),FW  ",1.5	,1.3	,1.6	,1.8	
Giacomo Bonaventura,",  M(CLR)  ",1	,0.7	,1	,1	
Tetê,",  AM(R)  ",0.5	,1.3	,0.8	,2	
Philip Billing,",  M(C)  ",0.6	,0.5	,1.6	,1.5	
Jordi Masip,",  GK  ",-	,-	,-	,-	
Guglielmo Vicario,",  GK  ",-	,-	,-	,-	
Wojciech Szczesny,",  GK  ",-	,-	,-	,0.1	
Youssouf Fofana,",  DMC  ",0.7	,1.4	,1.2	,1.6	
Youcef Atal,",  D(R),M(R)  ",0.8	,0.9	,0.3	,0.8	
Christoph Baumgartner,",  AM(CLR),FW  ",0.7	,1.1	,1	,1.9	
Bremer,",  D(C)  ",0.2	,0.1	,0.2	,0.7	
Filip Kostic,",  M(LR),FW  ",2.1	,0.5	,0.5	,1.5	
Raphinha,",  AM(LR),FW  ",1.5	,1	,0.5	,1.4	
Joachim Andersen,",  D(C)  ",0.3	,0.2	,0.2	,0.3	
Pascal Groß,",  M(CR),FW  ",1.9	,0.2	,0.6	,1.4	
Cristiano Biraghi,",  D(L),M(L)  ",2.9	,0.1	,0.2	,0.8	
Éder Militão,",  D(CR)  ",0.3	,0.3	,0.2	,0.4	
Solly March,",  M(CLR)  ",1.2	,1.4	,1.1	,2.1	
Moisés Caicedo,",  DMC  ",1.1	,0.3	,0.6	,1.2	
Rominigue Kouamé,",  M(C)  ",0.9	,1.8	,1.2	,1.4	
Tomás Soucek,",  DMC  ",0.5	,0.1	,0.5	,0.7	
Mory Diaw,",  GK  ",0.1	,-	,-	,-	
Lucas Tousart,",  DMC  ",0.4	,0.2	,0.8	,1.6	
Moses Simon,",  M(CLR),FW  ",2.2	,1.1	,1.2	,1.4	
Marc-André ter Stegen,",  GK  ",0.1	,-	,0.1	,0.1	
Timo Werner,",  AM(CLR),FW  ",0.4	,1.2	,1.2	,2.2	
Giorgos Kyriakopoulos,",  D(L),M(L)  ",1.3	,1.3	,1.5	,1.3	
Éric Ebimbe,",  M(CR)  ",0.8	,1.3	,1.2	,2	
Nicolas Pépé,",  AM(LR),FW  ",1.3	,1.3	,2.1	,2	
Borna Sosa,",  D(L),M(L)  ",2.4	,0.8	,0.7	,1	
David Raya,",  GK  ",0.1	,-	,-	,-	
Adrien Truffert,",  D(L),M(L)  ",0.5	,0.5	,0.7	,0.9	
Marc Oliver Kempf,",  D(C)  ",0.1	,0.2	,0.2	,0.4	
Federico Dimarco,",  D(CL),M(L)  ",1.7	,0.1	,0.4	,0.9	
Chris Smalling,",  D(CR)  ",0.1	,0.1	,0.1	,0.3	
Álvaro García,",  AM(L)  ",1	,0.5	,0.3	,1.6	
Sergio Busquets,",  DMC  ",0.6	,0.2	,0.5	,0.9	
Jackson Porozo,",  D(C)  ",0.1	,0.5	,0.3	,0.4	
Mark Flekken,",  GK  ",0.1	,0.1	,-	,-	
Iker Muniain,",  AM(CLR)  ",1.8	,1.5	,1.7	,1.4	
Emiliano Martínez,",  GK  ",0.1	,-	,-	,0.1	
Raphaël Guerreiro,",  D(L),M(CL)  ",1.2	,0.9	,0.6	,1.5	
Hirving Lozano,",  AM(LR),FW  ",1.2	,0.9	,0.3	,1.6	
Rasmus Kristensen,",  D(R),M(R)  ",0.6	,0.3	,0.1	,0.3	
Ionut Radu,",  GK  ",0.2	,-	,-	,-	
Alexis Sánchez,",  M(CLR),FW  ",1.6	,0.8	,1.4	,2.8	
Youssoufa Moukoko,",  FW  ",0.5	,0.8	,1.1	,1.4	
Ben White,",  D(CR),DMC  ",0.8	,0.2	,0.2	,0.9	
Przemyslaw Frankowski,",  M(CLR)  ",1.5	,0.1	,0.3	,0.8	
Borja Iglesias,",  FW  ",0.7	,0.2	,1	,2.5	
Reinildo,",  D(CL),M(L)  ",0.5	,0.1	,0.6	,0.9	
Paul Joly,",  D(R)  ",0.7	,1.3	,1.2	,0.9	
Copete,",  D(C)  ",0.1	,0.6	,0.3	,0.3	
David da Costa,",  AM(CL)  ",1.4	,1.5	,1.3	,1.5	
Roberto Pereyra,",  M(CLR),FW  ",1.5	,0.9	,0.9	,1.2	
Merih Demiral,",  D(C)  ",0.2	,-	,0.2	,0.3	
Mikel Vesga,",  DMC  ",1	,0.2	,0.2	,1.4	
Olivier Giroud,",  FW  ",0.8	,0.2	,0.5	,1.8	
Mohamed Camara,",  DMC  ",0.7	,1	,0.7	,1.1	
Aarón Martín,",  D(L),M(L)  ",1.3	,0.5	,0.7	,0.5	
Nikola Milenkovic,",  D(CR)  ",0.5	,-	,-	,0.3	
Marquinhos,",  D(CR),DMC  ",0.2	,-	,0.1	,0.1	
Benoît Badiashile,",  D(C)  ",0.1	,-	,-	,0.3	
Alexander Nübel,",  GK  ",0.1	,-	,-	,0.1	
Suat Serdar,",  M(CLR)  ",0.6	,1.4	,1.1	,1.3	
Oliver Baumann,",  GK  ",0.1	,-	,-	,-	
Destiny Udogie,",  M(L)  ",0.9	,0.8	,1.1	,2.8	
Chancel Mbemba,",  D(CLR),DMC  ",0.1	,0.3	,0.3	,0.5	
Davide Frattesi,",  DMC  ",0.9	,1.3	,1.3	,1.6	
Chimy Avila,",  AM(LR),FW  ",1	,0.8	,0.9	,1.8	
Deiver Machado,",  M(L)  ",0.5	,0.2	,0.2	,1.2	
Julian Ryerson,",  D(R),M(CLR)  ",0.6	,1.2	,1.1	,0.8	
Joe Willock,",  M(C)  ",1.1	,0.4	,0.8	,2.1	
Alexander Djiku,",  D(CR),DMC  ",0.3	,0.1	,0.3	,0.4	
Timothy Castagne,",  D(CLR),M(LR)  ",0.7	,0.2	,0.6	,0.9	
Hamza Sakhi,",  AM(C)  ",1.8	,0.6	,0.5	,0.9	
Nick Pope,",  GK  ",-	,-	,-	,-	
Ismaily,",  D(L)  ",0.9	,0.3	,0.8	,0.8	
Christopher Lenz,",  D(L),M(L)  ",1	,0.3	,0.3	,0.4	
