Name,Positions,Playtime,Goals,Assists,ShotsAveragePerGame,PassSuccess
Lionel Messi,",  AM(CR),FW  ",1132	,7	,10	,4.3	,83.4	
Neymar,",  AM(CLR),FW  ",1085	,11	,9	,2.4	,82.6	
Erling Haaland,",  FW  ",1041	,18	,3	,4	,76.5	
Kylian Mbappé,",  AM(LR),FW  ",1146	,12	,2	,4.3	,84	
Kevin De Bruyne,",  M(CLR),FW  ",1135	,3	,9	,2.4	,79.5	
Martin Terrier,",  AM(CL),FW  ",1204	,8	,3	,3	,76.4	
Robert Lewandowski,",  FW  ",1068	,13	,4	,3.6	,80	
Joshua Kimmich,",  D(CR),DMC,M(R)  ",1277	,2	,3	,1.2	,89.2	
Rémy Cabella,",  M(CLR),FW  ",724	,3	,5	,1.2	,86.4	
Jamal Musiala,",  M(CL)  ",1000	,9	,6	,2.6	,83.9	
Kieran Trippier,",  D(LR),M(R)  ",1327	,1	,3	,0.4	,77.3	
Gabriel Jesus,",  AM(LR),FW  ",1226	,5	,5	,3.6	,81.9	
Khvicha Kvaratskhelia,",  AM(CLR)  ",876	,6	,5	,2.8	,81.6	
Harry Kane,",  AM(C),FW  ",1338	,12	,1	,3.7	,73.3	
Marcus Thuram,",  AM(L),FW  ",1350	,10	,3	,3.7	,73.3	
Jude Bellingham,",  M(CLR)  ",1350	,3	,2	,2.1	,82.5	
Vinícius Júnior,",  AM(L),FW  ",1231	,6	,3	,2.6	,82	
Alexandre Lacazette,",  M(CLR),FW  ",1303	,9	,3	,3.1	,73.1	
Christopher Nkunku,",  M(CLR),FW  ",1283	,12	,-	,2.9	,82.6	
Niclas Füllkrug,",  FW  ",1219	,10	,2	,3.3	,62.5	
Aleksandar Mitrovic,",  FW  ",1021	,9	,-	,4.7	,57.2	
Enzo Le Fée,",  M(CLR)  ",1334	,2	,3	,1.3	,84.8	
Victor Osimhen,",  FW  ",905	,9	,2	,4.4	,74	
Sergej Milinkovic-Savic,",  AM(C)  ",1157	,3	,7	,1.5	,76.3	
Vincenzo Grifo,",  AM(CL)  ",1130	,9	,2	,2.3	,80.1	
Dango Ouattara,",  AM(LR)  ",1197	,5	,4	,2.7	,65.9	
Florian Sotoca,",  AM(CR),FW  ",1239	,6	,5	,2.8	,81	
Rodrygo,",  AM(CLR),FW  ",914	,4	,4	,3.3	,88.1	
James Maddison,",  AM(CLR)  ",1100	,7	,4	,3	,84.2	
Martin Ødegaard,",  AM(CR)  ",1083	,6	,2	,2.3	,81.3	
Phil Foden,",  AM(CLR),FW  ",911	,7	,3	,1.9	,85.6	
Paulo Dybala,",  AM(CR),FW  ",601	,5	,2	,2.9	,82.8	
Michael Gregoritsch,",  AM(CR),FW  ",1128	,6	,3	,2.5	,56	
Bukayo Saka,",  D(L),M(CLR)  ",1179	,4	,6	,2.1	,83.9	
Gabriel Martinelli,",  AM(L),FW  ",1187	,5	,2	,2.4	,85.1	
Federico Valverde,",  M(CLR)  ",1108	,6	,2	,2.2	,89.5	
Rodri,",  DMC  ",1125	,-	,3	,1.5	,91.1	
Benjamin André,",  D(R),M(CLR)  ",1218	,1	,1	,0.9	,84.8	
Ousmane Dembélé,",  AM(CLR),FW  ",874	,4	,5	,2.1	,84.7	
Bruno Guimarães,",  DMC  ",999	,3	,2	,0.8	,83.1	
Jonathan David,",  AM(C),FW  ",1331	,9	,3	,3.3	,83.9	
Serge Gnabry,",  AM(CLR),FW  ",834	,8	,3	,2.7	,83.1	
Amine Gouiri,",  AM(L),FW  ",794	,6	,1	,2.4	,80.5	
Rodrigo Bentancur,",  M(C)  ",1186	,4	,2	,0.9	,86.1	
Mikel Merino,",  M(C)  ",1129	,1	,6	,1.7	,77	
Ivan Toney,",  FW  ",1260	,10	,2	,2.9	,64.1	
Eric Choupo-Moting,",  M(CLR),FW  ",520	,6	,2	,1.5	,75.5	
Adrien Rabiot,",  DMC,M(L)  ",935	,3	,2	,1.2	,85.5	
Leroy Sané,",  M(CLR),FW  ",840	,5	,3	,3.1	,83.8	
Thomas Partey,",  D(R),M(CR)  ",961	,2	,-	,1.1	,87.5	
Randal Kolo Muani,",  AM(R),FW  ",1122	,5	,9	,2	,65.8	
Jonas Hofmann,",  D(R),M(CLR)  ",1155	,5	,4	,1.5	,78.8	
Frenkie de Jong,",  D(C),DMC  ",898	,2	,1	,1	,90.5	
Mário Rui,",  D(L),M(L)  ",977	,-	,5	,0.5	,83.1	
Dominik Szoboszlai,",  AM(CLR)  ",953	,1	,7	,1.4	,83.2	
Joelinton,",  AM(CLR),FW  ",1060	,1	,1	,1.5	,81.7	
Konstantinos Mavropanos,",  D(CR)  ",1149	,2	,1	,1.9	,79.9	
Pedri,",  AM(CL)  ",1030	,3	,-	,0.7	,91.1	
Marco Verratti,",  M(C)  ",1060	,-	,-	,0.2	,94	
Willi Orbán,",  D(C)  ",1350	,3	,-	,1	,88.4	
Lorenzo Pellegrini,",  M(CL)  ",1105	,1	,4	,2.5	,79.5	
Lautaro Martínez,",  FW  ",1219	,7	,3	,3.4	,75.1	
Benjamin Pavard,",  D(CLR),M(R)  ",1018	,1	,-	,1.1	,89.1	
Roberto Firmino,",  M(CLR),FW  ",937	,7	,3	,2.5	,79.6	
Antoine Griezmann,",  AM(CLR),FW  ",772	,5	,3	,1.9	,84.7	
Mattia Zaccagni,",  AM(CL),FW  ",1026	,5	,3	,1.7	,83.9	
Miguel Almirón,",  AM(CLR),FW  ",1264	,8	,1	,2.5	,85.5	
Maximilian Arnold,",  M(CR)  ",1310	,3	,2	,1.1	,81	
Brais Méndez,",  AM(CR),FW  ",1125	,6	,2	,2.1	,84.3	
Armand Laurienté,",  AM(LR),FW  ",753	,2	,3	,2.1	,81.6	
Frank Anguissa,",  M(C)  ",1098	,2	,3	,1.8	,88.5	
Hakan Çalhanoglu,",  M(CLR),FW  ",1079	,2	,4	,1.7	,87.5	
Joselu,",  FW  ",1260	,7	,1	,2.7	,61.8	
Aleix García,",  DMC  ",1247	,-	,3	,1.4	,89.7	
Sadio Mané,",  AM(CLR),FW  ",913	,6	,3	,2.9	,74.8	
Fabian Schär,",  D(C)  ",1245	,1	,-	,1.1	,75.7	
José Gayà,",  D(L),M(L)  ",866	,-	,2	,1	,83.8	
Rafal Gikiewicz,",  GK  ",990	,-	,-	,-	,60.3	
Bruno Fernandes,",  M(CLR)  ",1170	,2	,1	,2	,77.8	
Piotr Zielinski,",  M(CL)  ",917	,3	,5	,1.7	,84.3	
Ciro Immobile,",  FW  ",818	,6	,3	,2.5	,75.1	
Daichi Kamada,",  AM(CLR),FW  ",964	,7	,3	,1.5	,84.5	
Aurélien Tchouaméni,",  DMC  ",903	,-	,2	,1.2	,93.2	
Gianluigi Donnarumma,",  GK  ",1350	,-	,-	,-	,86.8	
João Cancelo,",  D(LR),M(R)  ",1121	,2	,1	,1.1	,87.3	
Lucas Martínez,",  D(C)  ",1046	,1	,-	,0.9	,83.5	
Bernd Leno,",  GK  ",1170	,-	,-	,-	,74.3	
Nabil Bentaleb,",  M(C)  ",1074	,2	,1	,1.1	,82.3	
Gerónimo Rulli,",  GK  ",1260	,-	,-	,-	,83.7	
Vedat Muriqi,",  FW  ",1043	,8	,1	,3.1	,61.1	
Moussa Diaby,",  M(CLR),FW  ",1257	,6	,3	,1.9	,80.9	
Yann Sommer,",  GK  ",900	,-	,-	,-	,80.5	
Dodi Lukébakio,",  AM(CLR),FW  ",1266	,7	,1	,2.5	,72.9	
Bernardo Silva,",  M(CLR),FW  ",1069	,2	,5	,1	,89.9	
Branco van den Boomen,",  DMC  ",1330	,1	,4	,1.8	,82.6	
Andrei Girotto,",  D(C),DMC  ",1245	,-	,1	,0.7	,84.4	
Rafael Leão,",  AM(L),FW  ",1012	,6	,4	,3.6	,79.4	
Kim Min-Jae,",  D(C)  ",1260	,2	,-	,0.4	,89.6	
Breel Embolo,",  AM(CR),FW  ",1094	,7	,2	,1.6	,68	
Ilkay Gündogan,",  M(C)  ",894	,2	,2	,1.8	,89.7	
Gerard Deulofeu,",  AM(CLR),FW  ",1206	,2	,6	,2.9	,80.2	
Guido Rodríguez,",  DMC  ",1045	,-	,-	,0.7	,88.7	
Son Heung-Min,",  M(CLR),FW  ",1035	,3	,2	,2.8	,80.6	
Achraf Hakimi,",  D(LR),M(R)  ",1076	,3	,1	,0.6	,89.2	
Terem Moffi,",  AM(R),FW  ",1043	,10	,-	,1.9	,74.7	
Romain Del Castillo,",  AM(LR),FW  ",517	,4	,2	,1.7	,71.9	
Ismaël Bennacer,",  DMC  ",1071	,1	,1	,0.4	,88.7	
Seko Fofana,",  M(C)  ",1116	,3	,2	,2.3	,90.7	
Matthias Ginter,",  D(CR),DMC  ",1350	,2	,1	,0.6	,84.2	
Rafael Tolói,",  D(C)  ",857	,1	,-	,1	,75.3	
Adam Ounas,",  AM(CLR),FW  ",665	,1	,1	,1.9	,80.2	
Alphonso Davies,",  D(L),M(LR)  ",1005	,-	,1	,0.6	,89.1	
Nuno Mendes,",  D(L),M(L)  ",753	,1	,3	,0.4	,85.9	
Paulo Otávio,",  D(L),M(L)  ",1132	,-	,4	,0.7	,75.2	
Pau López,",  GK  ",1080	,-	,1	,-	,75.4	
Alassane Plea,",  AM(CLR),FW  ",830	,2	,7	,1.4	,71.9	
Pierre-Emile Højbjerg,",  M(C)  ",1245	,3	,2	,1.1	,89.2	
Toni Kroos,",  M(C)  ",863	,1	,2	,1.1	,94.6	
Florian Kainz,",  AM(CLR)  ",1043	,5	,4	,2.1	,72.5	
Casemiro,",  DMC  ",709	,1	,1	,0.8	,79.1	
Wilfried Zaha,",  AM(LR),FW  ",1149	,6	,2	,2.7	,82.9	
Jeremie Frimpong,",  D(R),M(R)  ",1182	,5	,2	,1	,79.2	
Florian Tardieu,",  M(C)  ",880	,3	,-	,1	,90.5	
Alexis Mac Allister,",  M(CL),FW  ",1257	,5	,-	,1.9	,88.7	
Leon Goretzka,",  M(CR)  ",706	,3	,1	,2	,82.1	
Leandro Trossard,",  M(CLR),FW  ",1183	,7	,2	,2.6	,74.2	
Callum Wilson,",  FW  ",795	,6	,2	,2.5	,71.6	
Yeray Álvarez,",  D(C)  ",1058	,-	,1	,0.4	,81.7	
Pascal Struijk,",  D(CL),DMC  ",1165	,1	,1	,0.8	,79.5	
Aleksandr Golovin,",  M(CLR)  ",969	,3	,3	,1.9	,75.3	
Ivan Provedel,",  GK  ",1342	,-	,-	,-	,75.7	
Felipe Anderson,",  M(CLR),FW  ",1226	,3	,2	,1	,79.9	
Nicolò Barella,",  AM(C)  ",1288	,5	,5	,0.9	,84	
Thiago Silva,",  D(C)  ",1073	,-	,2	,0.5	,89.6	
Jonathan Clauss,",  D(R),M(R)  ",1112	,1	,5	,1.4	,76.3	
Ardian Ismajli,",  D(C)  ",935	,-	,-	,0.5	,81.5	
Téji Savanier,",  M(C)  ",1024	,4	,1	,2.1	,77.7	
Juan Cuadrado,",  D(R),M(CLR),FW  ",1029	,-	,3	,1.1	,85.7	
Granit Xhaka,",  D(L),M(C)  ",1169	,3	,3	,1.1	,85.1	
Alisson,",  GK  ",1260	,-	,1	,-	,81.6	
Jaka Bijol,",  D(C),M(C),FW  ",941	,2	,-	,0.3	,85.4	
Alessio Romagnoli,",  D(CL)  ",1195	,1	,-	,0.5	,89.5	
Enes Ünal,",  FW  ",1220	,4	,2	,2.2	,63.7	
Ramy Bensebaïni,",  D(CL),DMC,M(L)  ",1251	,5	,-	,1.6	,77	
Fabiano Parisi,",  D(L)  ",1222	,2	,-	,0.9	,75.2	
Manuel Locatelli,",  M(C)  ",978	,-	,-	,0.9	,83.3	
Frederik Rønnow,",  GK  ",990	,-	,-	,-	,67.3	
Mama Baldé,",  D(R),M(CLR),FW  ",1212	,7	,3	,2.9	,70.6	
Nico Schlotterbeck,",  D(C)  ",1285	,1	,2	,0.5	,86.4	
Benjamin Bourigeaud,",  M(CLR)  ",1190	,2	,4	,1.5	,78.6	
Theo Hernández,",  D(L),M(L)  ",1155	,2	,2	,2.2	,79.5	
Mats Hummels,",  D(C)  ",1062	,-	,-	,0.4	,88.5	
Rasmus Nicolaisen,",  D(C)  ",1197	,-	,2	,0.4	,82.4	
Mitchell Weiser,",  D(R),M(R)  ",1290	,1	,6	,0.9	,71.2	
Ibañez,",  D(C)  ",1350	,1	,-	,0.6	,89.3	
Dusan Vlahovic,",  FW  ",854	,6	,1	,3.1	,71.3	
Sergi Darder,",  M(CL)  ",1235	,2	,1	,1.3	,78.8	
Rúben Neves,",  DMC  ",1260	,4	,-	,1.9	,85.1	
Anton Stach,",  M(C)  ",1018	,1	,3	,1.5	,70	
Alejandro Balde,",  D(LR)  ",973	,-	,3	,0.5	,91.7	
Caio Henrique,",  D(L),M(CL)  ",1086	,1	,5	,0.5	,78.5	
Diogo Dalot,",  D(LR),M(R)  ",1166	,-	,1	,0.8	,77.8	
Isi Palazón,",  AM(R)  ",997	,3	,3	,2.3	,84.3	
Julian Brandt,",  M(CLR),FW  ",1060	,4	,2	,0.9	,82.6	
Nicolás Tagliafico,",  D(CL),M(L)  ",1329	,1	,2	,0.7	,88.1	
Eberechi Eze,",  AM(CLR)  ",1148	,2	,3	,1.9	,84.5	
James Tarkowski,",  D(C)  ",1350	,-	,-	,0.7	,81.6	
Wataru Endo,",  DMC  ",1215	,2	,-	,1.6	,75.9	
Axel Disasi,",  D(C)  ",1350	,1	,3	,0.7	,82.5	
Ben Mee,",  D(CL)  ",1210	,2	,1	,0.7	,78	
Iago Aspas,",  AM(CR),FW  ",1121	,7	,2	,2	,79.6	
Wout Faes,",  D(C)  ",810	,-	,-	,0.3	,85.9	
Jean-Ricner Bellegarde,",  M(CLR)  ",1300	,1	,3	,1.1	,80.7	
Marvin Ducksch,",  FW  ",1307	,3	,3	,2.8	,71.9	
Kevin Danso,",  D(C)  ",1350	,1	,1	,0.6	,88.9	
Mohamed Salah,",  AM(CLR),FW  ",1239	,6	,3	,3.6	,76.4	
Teun Koopmeiners,",  D(C),M(C)  ",1296	,4	,1	,1.8	,76.4	
Danilo,",  D(CLR),DMC  ",1272	,-	,2	,0.6	,83.4	
Koen Casteels,",  GK  ",1350	,-	,-	,-	,74	
Darwin Núñez,",  AM(CL),FW  ",606	,5	,2	,3.9	,74.3	
Lee Kang-In,",  AM(CLR),FW  ",1097	,2	,3	,1.4	,82.3	
Gabriel Magalhães,",  D(C)  ",1260	,2	,-	,0.9	,89.9	
Jonathan Bamba,",  AM(CLR),FW  ",1256	,4	,3	,2	,82.6	
Dejan Kulusevski,",  AM(CR),FW  ",615	,1	,5	,1.4	,84.5	
Jordan Pickford,",  GK  ",1260	,-	,1	,-	,55.7	
Gaëtan Laborde,",  AM(CLR),FW  ",735	,3	,-	,1.8	,70.1	
Daniel Parejo,",  M(C)  ",1230	,-	,2	,0.8	,89	
Alexis Flips,",  M(CR)  ",645	,1	,2	,1.4	,69.6	
Youri Tielemans,",  M(C)  ",1172	,3	,1	,1.1	,86.4	
Dayot Upamecano,",  D(C)  ",1342	,-	,-	,0.3	,90.5	
Alfonso Pedraza,",  D(L),M(L)  ",808	,-	,1	,1.5	,79.9	
Samuel Lino,",  AM(LR),FW  ",1216	,2	,-	,2.7	,82.6	
Sheraldo Becker,",  AM(CLR),FW  ",1066	,7	,3	,1.6	,69.2	
Rodrigo,",  M(CLR),FW  ",895	,9	,1	,3	,72.6	
Alex Berenguer,",  D(LR),M(CLR),FW  ",1032	,3	,1	,2	,74.2	
Vinicius Souza,",  DMC  ",1194	,-	,-	,0.3	,81.9	
Giovanni Di Lorenzo,",  D(CLR),M(R)  ",1339	,-	,2	,0.8	,88.5	
Iñaki Williams,",  AM(CLR),FW  ",1149	,5	,1	,2.4	,70.5	
Declan Rice,",  D(C),DMC  ",1350	,1	,2	,1.2	,90.4	
Fikayo Tomori,",  D(CR)  ",1284	,1	,-	,0.3	,88.5	
Rony Lopes,",  AM(CLR),FW  ",644	,2	,4	,2.1	,81.1	
Rodrigo Becão,",  D(C)  ",783	,1	,1	,0.6	,79.5	
Nico Williams,",  AM(R)  ",1076	,3	,3	,1.7	,79.1	
Ozan Kabak,",  D(C)  ",1257	,2	,2	,1.1	,85.4	
João Palhinha,",  DMC  ",1253	,2	,-	,1.1	,83	
Azor Matusiwa,",  DMC  ",785	,-	,-	,0.3	,81.7	
Jeremías Ledesma,",  GK  ",1260	,-	,-	,-	,48.1	
Nuno Tavares,",  D(L),M(L)  ",1102	,3	,-	,2	,80.3	
Alexander Sørloth,",  AM(R),FW  ",825	,4	,1	,2.4	,69.4	
Rafael Ratão,",  AM(R)  ",717	,3	,-	,0.9	,73.5	
Jordi Alba,",  D(L),M(L)  ",683	,-	,1	,0.5	,87.9	
Luka Modric,",  M(C)  ",934	,3	,2	,1.4	,90.7	
Edin Dzeko,",  FW  ",937	,6	,2	,2.4	,72.9	
Sofiane Boufal,",  AM(CLR),FW  ",720	,3	,3	,2	,80.2	
Stefano Sensi,",  AM(C)  ",942	,2	,-	,1	,88.9	
Federico Fazio,",  D(C)  ",810	,1	,-	,1.1	,78.9	
Maxime Dupé,",  GK  ",1350	,-	,-	,-	,73.5	
Jordan Siebatcheu,",  FW  ",852	,3	,3	,1.6	,51.9	
Wissam Ben Yedder,",  AM(C),FW  ",814	,6	,2	,1.7	,79.8	
Marcus Tavernier,",  M(CLR)  ",1289	,2	,4	,1.7	,76.5	
Ritsu Doan,",  AM(CLR),FW  ",1079	,2	,2	,1.7	,74	
Álvaro Morata,",  AM(L),FW  ",853	,5	,1	,2.1	,61.9	
Stanislav Lobotka,",  DMC  ",1217	,1	,1	,0.2	,94	
Ludovic Blas,",  M(CLR),FW  ",1142	,2	,1	,3	,85.1	
Malo Gusto,",  D(R),M(R)  ",1218	,-	,1	,0.4	,85.2	
Jonas Hector,",  D(L),M(CL)  ",1160	,-	,1	,0.8	,78.7	
Karl Toko-Ekambi,",  AM(LR),FW  ",1029	,4	,1	,1.9	,84.4	
Giacomo Bonaventura,",  M(CLR)  ",933	,3	,-	,2.3	,86.4	
Tetê,",  AM(R)  ",879	,5	,2	,1.9	,82.1	
Philip Billing,",  M(C)  ",1143	,4	,1	,0.9	,77	
Jordi Masip,",  GK  ",810	,-	,-	,-	,64.3	
Guglielmo Vicario,",  GK  ",1350	,-	,-	,-	,66.8	
Wojciech Szczesny,",  GK  ",763	,-	,-	,-	,67.1	
Youssouf Fofana,",  DMC  ",1166	,1	,-	,1.1	,81.7	
Youcef Atal,",  D(R),M(R)  ",623	,1	,-	,0.8	,83.5	
Christoph Baumgartner,",  AM(CLR),FW  ",1157	,4	,2	,2.6	,72	
Bremer,",  D(C)  ",1127	,1	,-	,0.8	,91	
